Author,Date,Comment
Udik,"on Aug 3, 2019","Who said that Googlers are not part of those ""masses""? Surely they enjoy products from their company as anybody else?And then, of course, nobody said you're part of those masses anyway. Maybe you're not. Do you enjoy Google product X as other hundreds of million do? Then you're part of the mass that enjoys it. Otherwise you are part of the mass that doesn't."
solidasparagus,"on Aug 3, 2019",N/A
tomc1985,"on Aug 3, 2019","In your negative case you're using modifier words to change the meaning of ""masses"". Besides, why be part of the PC police??"
tom_,"on Aug 3, 2019",Another way of putting it: words have connotations as well as meanings.People do sometimes seem to forget this! - so it's good to have a reminder.
solidasparagus,"on Aug 14, 2019",Well put
skinnymuch,"on Aug 3, 2019",Saying unwashed before most words standing in for people would likely not be a nice thing to say. So of course unwashed masses isn’t a good phrase. Nor is “unwashed people”
ryandvm,"on Aug 3, 2019",N/A
fourthark,"on Aug 3, 2019",N/A
heyoni,"on Aug 3, 2019",N/A
ben509,"on Aug 3, 2019","When human beings are part of an association that is verifiably elite, it is quite common for them to have elitist attitudes."
oblio,"on Aug 3, 2019","Elite in compensation, true.But is the average Googler contributing more to humanity than the average teacher? I'm not so sure."
dodobirdlord,"on Aug 3, 2019","From the 2018 shareholder's letter, Google created $335 billion in economic activity in 2018.[0] From the 2019 Q2 financial results, Google has 107,646 employees. By raw division the average Google employee creates $3,112,052 in economic global activity each year.[0] https://abc.xyz/investor/founders-letters/2018/
[1] https://abc.xyz/investor/static/pdf/2019Q2_alphabet_earnings..."
tomp,"on Aug 3, 2019","Sure but most of that ""economic activity"" is essentially spam, so I'm not sure it's a net positive..."
BurningFrog,"on Aug 3, 2019","One reason you're not sure is that it's impossible to measure, and therefore to know. It's even impossible to know what the question really means."
sorokod,"on Aug 3, 2019","I know a nurse, occasionally she brings people back to life, it is just a part of her job - is she contributing to humanity more or less then an average Googler?"
ggggtez,"on Aug 3, 2019",N/A
kortilla,"on Aug 3, 2019",Which elite verifier verified that?
ben509,"on Aug 3, 2019","Maybe ""it's natural"" would have been more accurate than ""it's quite common""; I was trying to word it to avoid it being read as claiming Google broadly is elitist.But, no, I can't cite a study, it's a pattern I've observed at range of places."
jvolkman,"on Aug 3, 2019","There are over 100,000 googlers, so both ""yes"" and ""no"" are likely valid answers."
fareesh,"on Aug 3, 2019",N/A
anoncareer0212,"on Aug 3, 2019","I went from waiter -> self-educated SW engineer founding own startup -> sold startup -> Google. (Been on 3 teams, all of which shipped to match HW deadlines)The only thing noteworthy about Google is _there is no process_.Hell, just last week, a coworker and I finally resolved a year-long difference of opinion when it clicked for him that there wasn't a defined system, insomuch as there was one I was defining it, and I was thrilled to have someone else help with that."
6thaccount2,"on Aug 3, 2019",Can you explain that better? Basically in a nutshell they don't have worthless agile processes?
anoncareer0212,"on Aug 3, 2019","Overall picture: Google recognizes it's a large company that has an extreme diversity of teams with idiosyncratic goals and personalities, and doesn't prescribe _anything_Dollars to doughnuts, there's multiple teams doing extremely prescriptive Agile, but I've never seen one in 3 years in a 2,000 employee office.By far the most organized team I've been on merely kept track of bugs using an internal web app that renders bugs from the internal bug tracker as post-it notes arranged in columns, with each column representing a bug status (ex. assigned/started work/code in review/done).This alone caused a ton of grumbling, meanwhile I'm sitting there gobsmacked that Scrum and Agile aren't proper nouns that everyone has highly detailed opinions on."
aurelianito,"on Aug 3, 2019",The team you are referring to is highly likely to be using kanban. Kanban is the destiny of agile.
anoncareer0212,"on Aug 3, 2019","Nailed it, that's the name of the internal web app :) I always hesitate to call it Kanban because my relative that's a university professor is obsessed with Proper Kanban and it's nigh-unrecognizable to me beyond the post-it notes and status"
walshemj,"on Aug 3, 2019",Using prescriptive  and agile means you are not actually doing  Agile DSDM RAD or what have you in any way.
username90,"on Aug 3, 2019","The teams I have worked on at Google have no process on a team level. We just copied the mandatory things like code reviews and automated testing, other than that people just figure out what to do on their own. The main motivation people have to work is so they have something nice to put in their biannual performance evaluation, so everyone is very eager to try to solve problems. Of course if you bite off more than you can chew and totally fail then you have nothing, so people try to pick sensible projects which will actually succeed."
futureastronaut,"on Aug 3, 2019",Did you read the Quora answer or are you replying to the title?
anonygler,"on Aug 3, 2019","GSuite does an incredible amount of talking to customers, because it’s easy to know who your target customer is. But who does a Billion-user consumer app talk to? For that we rely on internal testing and reporting feedback from family/friends.People do read your in product feedback, btw. But it takes quarters for anyone to triage and act on it."
