Author,Author Description,Publication Date,Votes,Review
EnigmaExplorer,Apr 12,2024,0,"Agile, a project management methodology characterized by short development cycles and a focus on adaptability and customer satisfaction, has seen widespread adoption across various industries. However, it has also faced criticism and pushback from developers and project managers alike. One core reason for this dissatisfaction lies in the misapplication and superficial implementation of Agile principles, often referred to as ""Agile in name only."" Teams may adopt Agile terminology and tools without fully committing to or understanding its philosophy, leading to processes that are neither truly Agile nor effective. This half-hearted adoption can result in increased pressure, confusion, and a lack of clear direction for the team, undermining the very benefits Agile aims to provide.
Furthermore, Agile's emphasis on continuous delivery and adaptability can sometimes translate to a perceived lack of stability and predictability in the development process. Developers often find themselves in a cycle of never-ending sprints, where the scope and goals can shift rapidly, leading to burnout and frustration. This relentless pace and fluidity can detract from the quality of work, as the pressure to deliver in short cycles may compromise thorough testing and thoughtful development. The emphasis on immediate customer feedback, while beneficial for product alignment with user needs, can also lead to scope creep and difficulties in managing expectations and workload.
Moreover, Agile's focus on collaboration and frequent communication is not universally fitting for all personalities and work styles. Some developers prefer to work in a more solitary manner, finding the constant meetings and discussions inherent in many Agile frameworks to be disruptive and inefficient. This mismatch between individual work preferences and the demands of Agile methodologies can lead to decreased job satisfaction and productivity.
In response to these challenges, several alternative project management paradigms have gained traction. One such approach is the Waterfall model, which is more linear and sequential, allowing for detailed planning and more predictable timelines. While less flexible, it can provide the structure and stability that some projects and developers prefer. Another alternative is the Kanban system, which focuses on visualizing work, limiting work in progress, and optimizing the flow of tasks. Kanban encourages continuous improvement without the pressure of sprints, making it a more flexible and less intensive option for teams looking for an Agile-like approach with fewer constraints.
Finally, the Lean methodology, with its emphasis on eliminating waste and optimizing efficiency, offers a strategic framework that can complement or substitute Agile practices. Lean focuses on delivering value through understanding customer needs and streamlining processes, which can help teams achieve high-quality results without the drawbacks of sprint-based pressures. Each of these alternatives, along with a thoughtful consideration of team dynamics and project requirements, can provide a viable path for those seeking different solutions to project management challenges."
Wayne Uejio,"computer programmer/mathematician, system architecture, system architect,",2016,0,Bad implementation and people assuming process means good systems. Let me say this: good programmers/sw engineers do not like this. Bad ones cling to this.
Cynthia Avishegnath,Software janitor,2016,12,"Because …
developers would have no more excuses going on excursions mucking around with their development because now they would have clear, obvious and achievable goals to achieve.
managers who have no idea about agile think it is an efficient way to micromanage their subjects.
developers did not use companion frameworks like UML to provide them with a clear and achievable goals or with means and alerts to quickly backout from an unachieveable goal.
developers do not believe in companion frameworks like test-validated development. Or that they do not understand how such a process works in their favour.
developers do not practice code freeze and versioning.
developers will not use Maven-mentality to code freeze their work, but prefer to have 200 projects concurrently active in their IDEs managed thro the defective framework called OSGI.
OSGI is a means to efficiently allow developers to practice bad habits efficiently.
managers do not believe in backing out of unachieveable goals, hence pressurizing developers to achieve them - making the development atmosphere rancid and unpleasant.
“full-cycle” long-term waterfall or pretend-waterfall “methodologies” allow people to hide their failures which they do not want to believe are failures.
agile exposes failures and the obvious need to abandon too quickly, and people prefer development cycles that provide them with reasonable excuses to continue banging their heads against unachieveable goals.
agile is a means to fit the available resources to the required goals. Agile is a means to make do with the skill set available to a team. And the weaknesses of weak programmers become apparent very quickly.
developers do not understand or believe that exposed weakness of a programmer should not be the sole responsibility of that programmer for improvement.
to be effective, agile requires any developer to honestly confess that they do not have expertise but they are enthusiastic to gain the expertise. Agile does not work well, when an atmosphere exists where every one thinks they should put up a front as though they know a lot.
agile is exactly what Matthew 20 - parable of workers, is all about. That it is a team work. That agile accommodates the weak worker and the late worker as much as it accommodates the strongly expert ones. Developers find this socialist concept unfair and unworthy.
agile requires developers to communicate with each other often. And also congenially spend time discussing irrelevant ideas and showing off irrelevant projects, and to build camaraderie. Many of us hate that.
And managers do not want to allocate time for developers to perform irrelevant tasks.
And they don’t realise such irrelevant tasks and min-projects will one day become handy. Because those in-charge are short-sighted."
Tom Murphy,Studied at Wayne Memorial High School,2016,0,Generally speaking it is about accountability. Many engineers claim it limits their ingenuity when in actuality it increases it because of the team approach to problem solving and solution delivery!
Joe Gorecki,I had the job title webmaster in the 90s.,2017,0,Because it’s a huge pain in the ass for what almost always turns out to be a completely one sided discussion.
Scott Allen,Software Engineer (2012–present),2017,1,"Before starting, I want to mentioned that I have been a developer for almost 5 years at a single large IT company. Despite that, I’ve worked on a variety of projects with a variety of people and believe I have some insight to give here.
I’ll also disclose that I am pro-agile, and may well give reasons as we go through.
Change
To me, people dislike change. I’ve seen how easy it can be to not learn for extended periods of time and how cosy developers can be sitting at the same desk, with the same people, doing the same work in the same way. This isn’t necessary a slam at developers, it’s often the job they signed up for and what they have expected.
So firstly I’d say that change is the reason some developers do not like “Agile”.
My opinion here is that “Agile” is not the change, but a necessary response to the change. I believe this is reflected on multiple levels, where some of the higher ones are often overlooked during a developer’s reasoning.
Winning Work
Winning work is important for software companies and equally important for developers who do not want to end up redundant (apart from those in-house teams perhaps). In my experience the ways of winning and offering work is changing;
A growing desire for breaking up big contracts; using multiple companies and a drive from government for SME’s.
A shift of trust from larger companies to smaller niche companies.
This for me is adding a lot of pressure on everyone to be innovative and rapid - with a lot of focus on presenting PoCs during the bidding phase and then the continual visible delivery to maintain confidence and win more of the smaller trickles as opposed to the big mammoths. This causes a growing emphasis on communication, reaction to change and innovation.
Client Demand
Carrying on from ‘winning work’; client demand has grown to embrace what those more competitive companies offer, and this has caused a need for all to react. These demands include:
Adaptable requirements
Frequent releases (or releasable code)
Greater Visibility / Tractability
All of which for me just don’t fit into the traditional waterfall approach.
Technology
Even during my short stay, my view of technology has changed so much to which point where I see the following as crucial to have an understanding of as a software company and a developer;
Open Source Technologies
Cloud Computing
Application Portability
Micro-Service architecture
To me there must be a change the way we work. The Open Source community grows and changes so fast that any team must be able to react rapidly, and the development of cloud-centric applications is simply different and requires a different way of thinking; There are no big application with long release cycles and therefore developers must be able to adapt to different technologies, frameworks and methodologies to keep up with the demand.
I believe a lot of the above changes in the world are often not properly understood by developers, who simply brand the whole shift as ‘Agile’ then fight against it. I’m of the opinion that we cannot fight against this change but only adapt; Agile may not be your ideal scenario but is an attempt to manage these changes in a positive way for IT Companies, Developers and Clients.
Lack of Understanding
Clearly, there’s just simply a lack of understanding. On some levels working in an Agile manner can be very simple, but it also often feels like delicate procedure which requires careful balancing and real commitment.
Daily Stan-Up Calls
Having a call at the start of every day where everyone just blurts out what they’re doing for the sake of it is not Agile.
Stand-ups should be as brief as possible, and this should be supported by the consistency of their occurrence and attendance. They give everyone a chance to highlight (not justify) the work they are doing and highlight issues they are having. This will allow the rest of the team to understand your position, who they need to communicate with for specific queries and ensure that everyone is aware or blockers. Good standups will often result in multiple ‘offline’ discussions taking place afterwards (“oh you’re working on that, maybe you can help with this” or “ah I might be able to help you with that issue”).
To me, having the whole team understanding the position and struggles of the whole team can only be positive.
If your project manager is running your stand-up meetings; you’re going to have a bad time. I find the best way is to rotate who runs them, but always have a strong ‘scrum master’ who can step in if it inevitably goes off track.
Working in Iterations
Being told to get so much done in a given time then meeting up to see if you managed to do it or not is not Agile.
Iterative development is all about learning in my opinion. It’s about learning how much you can comfortably take on in a given time, it’s about learning if you and your client have the same vision, it’s about learning how the process can be changed to improve the experience for all.
The amount of Story Points moved into a sprint isn’t about setting yourself a target to complete, it about learning the velocity of your team and therefore learning what can be expected in a given timeframe. I’ve met so many teams who think they are agile but do not understand Story Pointing - if you’re doing “Agile” but do not use story points, I can’t see how you’ll make it work.
Just the same with Retrospectives - which are an important part of the process but are often overlooked as ‘ceremony for ceremony sake’. I’ve been in retrospectives where people have refused to be thoughtful and some where people are simply scared to challenge the status quo.
Retrospectives are there to give the team a voice; and should be nothing but beneficial to developers. This is a chance to flag things which which you don’t like as much as praising the things you do like. “STOP: Having the PM run the standup calls”, “START: Estimating my own tasks”, “START: Dress-down Fridays”, “STOP: Last-minute meetings”.
Showcases are a given also; I’ve been frustrated many times at spending long periods developing functionality which simply wasn’t what the client really wanted. As a developer I find it much easier to motivate myself when I know I’m adding value. Showcases should be all about making sure you and the client are on the same page (rather than a progress update). This along with backlog pruning should be a developer’s dream in reducing the amount of wasted time.
The Wrong Reaction
I want to finish off by saying that I understand why people are driven to hate “Agile” as a term. Daily updates to the manager, requirement of visual progress every week and micro-managed workloads are all awful and have too easily led to the blips of hatred we can see appear.
The blasphemous use of the term “Agile” to describe some of the above has pulled an illusion over developers eyes, turning something which we should all embrace into something many fear.
This fear has caused developers to run away when “Agile” is mentioned and push back at Management for introducing the buzz-word into their work environment. Yes, “Agile” can be ran awfully and make your lives harder, but if instead of pushing back you take control and champion your company’s / team’s approach to Agile with a real understanding, you’ll find that it’s there for you."
Scott Weiner,"CTO, Strategic Consultant, EBAS, ICP-BAF, CSM, SPC4",2017,0,"I’ve worked with over a thousand developers. I rarely have seen developers that don’t like the Agile mindset. I have seen teams that were not operating in an Agile way and thought they were. Those teams were often miserable because they were getting very little of the benefits and they had all sorts of unreasonable overhead.
In fact I’ve gone into many teams where morale was awful and after creating a shared understanding of Agile the difference in attitude and effectiveness of the team was often incredible. It happens fast when done well.
As for a better paradigm, it completely depends on your needs but for most general purpose application development Agile mindset and some related methodology works pretty well. I’d need to understand a lot more about your particulars to make more of a recommendation.
Sure I could just tell you an opinion but we don’t work that way. We are method agnostic. Instead we like to evaluate your goals and figure out how to help you organize around your values and objectives."
Clint Potts,Agile trained. Mother approved.,2016,1,"Agile is an environment in which team members look at a board of tasks, and self-assign themselves work. They are then expected to report daily on their progress in short “scrum meetings”. This environment quickly exposes the team members who are not getting their share of the work done and continue to make excuses for being slow. You only get away with that for a few days before you get called on it by your colleagues.
The problem is, if your project lends itself to Agile management, it is the best option. Tried and true project planning allowed developers to hide in the Gannt chart. Agile requires accountability and movement during each sprint.
So what do you do? You work to develop your employee using good ol’ human resource practices. Does the team member need training? Are there problems at home? Can a flexible schedule be accommodated to provide time to address personal concerns? Do we need to engage a HR plan?
Bottom line: team members get held accountable and need to be productive in a Agile team. These are good things!
-Clint"
Nicolau Werneck,Dr. Engineer,2016,4,"Reading this question for me is crazy, I have never met a developer who does not like agile. Maybe this is a thing among some developers out there, but I am certainly distant from those. From what I am reading here, it only happens when people are not actually doing agile, the problems pointed out are just classic bad management practices that agile explicitly fights, such as the idea your “boss” is checking out on your work every day… The daily is a great moment of the day, you talk to your co-workers, you ask for help, you offer help, you get to know what is going on, you share what you have done, you talk about issues affecting your work. If you actually live that once and then move to a place people don't even know what that is, you'll miss it dearly.
What would be the opposite of agile? The main anti-pattern I believe would be to get rid of iterations and instead pretend you can envision your project in a couple of months to deliver a perfect product two years later. This is crazy talk… You need an error feedback loop. And you need a PO who cares about making a product that is relevant, and who is responsible for its success. If you don't have a good PO updating your requirements, you'll soon be working in something that is either pointless or doesn't even make any sense. This is terrible.
The question of testing and of being pushed towards doing low-quality code, or also focusing on front-end stuff and “putting down fires” instead of creating some serious long-term infrastructure, this is a relevant problem, but agile is not to blame. Let's get real: if some code is buggy and nasty, but it is not a real problem for users, then there really is not much of a reason to make the code better or to have it tested. The PO and developers, the whole company must reach a consensus about what matters, where to improve on quality, where to make more tests. Sometimes developers can envision that investing on something will be better long-term. But it must become clear to the rest of the company that this is true and will be relevant. And developers must also understand those superficial and immediate issues do have its importance. A developer cannot be lost creating beautiful code that is not really relevant not now or not ever. You need that reality check.
Agile doesn't really solve that quality problem, but it gives your the opportunity to solve it, by putting people to talk to each other. The business and architectural decisions are beside agile. Agile is about making people look to what is happening, talk to each other, fix problems and getting things done, instead of getting stuck in plans that might become obsolete, and following pointless rules or remain suffering with impediments that are never discussed with anyone."
Stoyan Stoyanov,QA Manager (2020–present),2020,0,"Being smart and understanding the method and tools you are using is the better alternative. A lot of devs. limit themselves by adoring the label ‘dev’ and choosing to be blind for the rest and the modern human knowledge says we have to know the whole process and be cross-functional and scientific.
So my answer is - lack of knowledge leads to misunderstanding of the Agile manifesto and practices. A lot of devs dislike what most human dislike - breaking the homeostasis, doing something more, crawling out of their shell, the usual human stupidity (;"
Tom Rose,Studied at King's College London (KCL),2020,10,"Agile is fine. We should all try to be agile
SCRUM is not Agile, never was, never will be. It goes against the most important Agile principle, “People and Interactions over tools and process”
It might be a good methodology for some projects [it is!]. It is most certainly not the one and only good method for everything.
It often takes away the pleasure in work that used to be felt by many excellent programmers that for decades delivered good quality software without the help of SCRUM. That is enough to treat it with suspicion. And it is true of both “real” SCRUM and the cargo-cult variety.
I have never yet met a programmer that asked be part of a SCRUM team. So far as I can see it is always imposed from above by control freaks with the word “manager” or “director” in their job title, but with a complete lack of any ability to manage or capable only of directing in the wrong direction."
Joe Termine,Principal Software Architect at A Fintech Firm,2020,28,"As a programmer, I generally hate all meetings, because meetings are dull and ineffective. There are exceptions, but most meetings could be skipped if someone just wrote a clear memo or the two people in conflict talked to each other and not the whole universe. Scrum meetings in particular are the worst kinds of meetings because they are “meetings by tradition” instead of “meetings out of need.” They are like the dreaded weekly staff meeting where everyone goes through the motions of a meeting to appease “the boss” but don’t get any real value.
Of course nearly every SCRUM practitioner will disagree. call me a heretic and say prescripted bland things like “only if SCRUM is done improperly” or “it was that way with waterfall but not now.” Same with the Six Sigma worshippers, and they double down on this insanity by giving their useless meetings names that all seem to have cryptic abbreviations — “the FMEA Process Review Meeting.” What it comes down to is that folks who don’t have anything valuable to do need to have meetings to create work for others so that they can show value."
Gniewomir Świechowski,"Full-stack developer, occasionally tech lead",2021,6,"I can speak only for myself, but it may be representative for at least part of wider group of so-called “agile-hating developers” so I will be using plural. :)
We do not hate agile. We despise how companies are often smuggling waterfall under agile disguise.
Problem with current understanding of what agile is that people in charge often associate it with particular implementation. Scrum for example. They expect that we will religiously adhere to some arbitrary set of rules with disregard of them working or not for our use case - which is exact opposite of being agile and constantly looking for what works best!
At the same time, when you are “agile” - in aforementioned way, you are still expected to provide waterfall-like estimations for things months away, which you rarely can reason about - without being a prophet, as the same people will change their requirements multiple times, without giving you space for changing guesstimation, they forced you to make before.
It is even more problematic, as this kind of being “agile” is very popular in businesses outside tech sector (most of them!), which means that whatever they have is probably in state of disrepair, obscure for any reasoning about it and very, very fragile. Which makes even 2 week predictions about what we will be able to do at best unreliable and at worst pure fantasy. But don’t expect to be given much space to remediate this problem.
So “agile”(note quotes) lovers create teams that chase this arbitrary deadlines (re-implemented from waterfall) with disregard for technical debt, basic hygiene (understood as CI/CD, automated testing, developer experience, developing common language with business etc.) and quality (re-implemented from waterfall) but with shitload of often unproductive meetings (re-implemented from waterfall).
Teams that are as much “agile”, as the where 20-yrs ago, but more frustrated because all of the bullshit pretending around.
What we hate is when people grab sexy buzz-word and slap it on waterfall-like process without any understanding there are not many canned answers in this field.
To be truly agile everybody in organization have to accept, embrace this constant state of flux every business and every code base is in and act on it - implementing more iterative process, not cling to illusions of predictability under disguise of being “agile”.
We love being agile, we hate being “agile”."
Aleksandar Atanasov,"Master of Science in Computer Science, Karlsruhe University of Applied Sciences (Graduated 2017)",2024,3,"Here is my experience with SCRUM. My hope is that people will view it as a cautionary tale and will try to avoid the mistakes I have observed in multiple companies that I have worked at and seen the failure of SCRUM and agile development all together.
First of all there is a difference between the two terms. If Agile is a class, SCRUM is the object that instantiates that class, that is agile development is a philosophy, while SCRUM is the means to enforce that philosophy.
I worked in three companies in a span of several years. Quit all of them due to being extremely dissatisfied with how things were managed. Most if not even all of the time the introduction of new workflows (SCRUM or otherwise) comes outside of the development department and not from the developers themselves. Usually it comes as a suggestion from project management. Why? Well, it’s complicated.
It all starts when a sales person, who gets big bonuses from finishing a sale, goes to a client. Without knowing what actually is possible (or caring, for that matter), they promise the client everything. The client is happy. While more experienced folks will know that there is always quite a bit of snake oil marketing going on, many are more than willing to sign a contract that promises them the stars since 1)it looks great in front of their boss and 2)a contract is legally binding, hence the responsibility is ultimately shifted towards the legal team if something goes wrong.
The sales person and the project manager then sit together and start checking what can be done in the given time frame and budget. Most of the time this is the first place where huge discrepancies are observed but not fixed.
The project manager than goes to the head of the devs and tells them they need to get to work. In the end “something” is shipped to the customer and using various techniques of deception, best case the company, that provided the service/product, gets away with most of the lies they sold to the client. This cycle repeats over and over and gets worse, since the more you manage to barely scrape by, the heavier the push from the top gets. After all if you managed to get the job done 99 times, why not do the same 100 times?
At some point this workflow implodes. People start being demotivated, burned out, getting sick, friction among the dev team rapidly increases and ultimately people pack their stuff and find a new job. The less people you have, the less human resources you have to actually do anything beyond selling and managing projects. This high turnover increases the strain on the rest of the developers. Deadlines start to fail, projects start to crumble.
The project manager sees that something is going wrong. They absolutely have to do something otherwise the deadlines will not be met and they will get into a lot of trouble (mind you, the sales folks seems to be immune to any critique and can continue selling snake oil for quite a while before someone points the finger at them). So they talk to their supervisor and say they need to check how to improve things. Funny enough, they got contacted on numerous occasions by this consulting company that sells training and does workshops in SCRUM, promising to improved the output by a lot. How much they cannot say since specifics are legally binding. ;)
The project manager asks for funding from their supervisor, who gladly coughs up a few thousand USD since it appears to be a good investment. The consulting company that consists of people, who benefit from your company introducing SCRUM and employing them to consult you during the transition, then fill the manager’s head with a different type of snake oil. One that tells them that all of their problems will go away if they use SCRUM and that SCRUM ensures a tight, highly flexible and observable workflow that would make their job in controlling the devs better and will also make the devs happier.
The project manager comes back and immediately starts probing and pushing SCRUM down everyone’s throats. The other managers rapidly jump onto the SCRUM-hypetrain since they are also struggling. Of course no one asks the developers if this would fit the team at all. On top of that the migration period is literally nonexistent. You wake up and all of a sudden you just have to work with SCRUM. Why? Because ongoing projects that are already failing cannot wait for you to get into SCRUM, you just have to employ it because, if anything fails, it’s you that failed and not the methodology.
SCRUM requires discipline, clear vision of your goals, good work ethics and well trained team that endorses it. It cannot fix mismanagement, it cannot miraculously create proper specs out of thin air and you can definitely not push it down a dev’s throat if they see it as something that will 1)benefit you as a project manager but 2)hinder their current workflow."
Anthony Minessale,"Founder, CEO at SignalWire (2018–present)",2015,23,Software development is chaos. Agile is an attempt at order. Order can be brought to chaos only temporarily. Anyone who hates on it probably is being forced to follow it at all times. Its good to have guidelines but rules are meant to be broken when the chaos is at a maximum. The secret that takes most 10+ years to learn is to avoid religous affinty to any one style or practice for anything to do with tech but be willing to borrow from any of it.
Amir Hakim,8y,2016,17,"Is nuclear power the biggest evil ever invented ? or is an incredible source of energy ?
Answer: it depends on how you use it!
Currently: Scrum is anti-engineering.
Scrum like everything on earth is a powerful noble idea that capitalism took and turned into an evil monetisation tool, just like Christmas and Vegetarianism. The way it’s usually used, makes it nothing more than continues rapid prototyping while ignoring the technical debt, to generate your first sale and may be sell off the company, then the horrible code base becomes someone’s else problem. It is used by non-technical bosses to drive developers and work them to the bone. To micromanage everything and ask you to log every minute of your day. All the accumulated technical debt doesn’t matter because all you need is to show your feature to sell them. Then once you do, you blame the current heroic development team for the bugs and you replace them with others. It is used so your trade code monkey are driven to produce, while the engineering talent is suppressed. It pushes Devs to choose the fastest solution to implement, not the best solution, because who has time to research and implement that new library or framework that will make you future proof, when you can hammer out few lines now, then when a change comes along, you delete that crap and start from zero. Why try to abstract and code re-use, when you can simply copy-paste. Because when you over or under estimate your user story, management look at you as either a thief, or lazy, or both. Because when you try to object and raise concerns about being hampered by all the tracking and estimation, management says: light process is a privilege that you have to earn. And don’t blame the scrum master for being a management puppet that is only there to spy on the team because he is not trained, but we don’t have the budget for real scrum training. But we are scrum.
Others agree as well
Why do some developers at strong companies like Google consider Agile development to be nonsense?"
Alan Mellor,Used Agile methods since 2005,2019,404,"I’m not a fan, I must say.
I loved the original agile manifesto.
To me, that directly addressed the problems of uncertain, unpredictable development by attacking its root causes. Extreme Programming (XP) seemed to make a lot of sense.
These were ideas devised by programmers for programmers to help them program.
And then the project managers came along.
Scrum, with its planned sprints, seems to me to simply discard the agile manifesto. It splits a project into two week waterfalls and hijacks the term ‘agile’.
There is nothing in the agile manifesto that says we can make software more predictable. It’s all about handling and making transparent the unknowns that we face during every bit of the development process: requirement details, libraries, legacy cruft and people. Instead of pretending we can predict those before they hit us.
But by all the same tokens, your project manager is going to love Scrum. It’s a way to rein in those pesky agile programmers who make it up as we go along. On paper.
I’ve been part of successful Scrum projects. But the agile manifesto/XP way of delivering software has always felt a much better, more productive fit."
Jacky Jackson,Software Engineer,2018,32,"Agile Manifesto and the four values
• Individuals and interactions over processes and tools
Resulted in endless interruptions while nobody bothers to write their thoughts down
• Software products over comprehensive documents
Results in ball of mud products with no documentation on what the hell the creators were thinking, and what it should be about. I wants those comprehensive documents back! Please.
• Customer collaboration over contract negotiation
Śo we accept collaboration in customers changing their minds every two weeks, and do not force them to make up their minds.
• Response to changes over observing plans
So we refuse to write anything down in a plan and just ‘do agile ‘ because it is ‘hip'…..
YES I TOTALLY AND TOTALLY HATE HATE HATE HATE HATE AGILE!!! I SPIT ON IT, I P!SS ON IT."
Jacky Jackson,Software Engineer,2017,9,"Frankly…. I do not dare to, still. I have been working with Agile for a few years now, and countless times I wanted to shout it out of my lungs: ‘'write it down’'. But…that is not lean, scrum and agile. I wanted to beg for a few hours of silence to work in…but pair programming is the new and modern way to work. At the moment you dare to criticize agile, it is you who are a bad programmer not being good enough for agile. I totally loath agile!! At least I can write it down here."
Mourya Venkat,"M. S in Software Engineering, Vellore Institute of Technology, Vellore (Graduated 2017)",2019,10,"Hahaha because people freaking changed its definition.
What's supposed to be a 15 minute scrum, is now getting stretched to 45 min - 1 hr.
Can you just assume, you just start your morning with a very fresh mind and all of a sudden, you will have to move to a suffocated meeting room and spend your 1 hour time just listening to things which doesn't even link with your component.
I don't object a 15 minute scrum, cos it's the best way to know who's working on what. But a stretched scrum is horrific and reduces the productivity of the developer."
Alan Mellor,Used Agile methods since 2005,2019,56,"No. I like the stand ups and I appreciate the ideas on planning small sections of work. Both have value.
It is the fact that each Sprint has a commitment based on my wild guess of how long something will take that sucks catastrophically bad.
It’s all a total charade to add a veneer of predictability to something unpredictable."
Andrew Arnott,Developer Since 2008,2022,7,"Absolutely yes.
When I get emails from recruiters that mention the company “does Agile”, or something to that effect, I explain to them that my experience of this means micromanagement, corner cutting, prioritising of stats and burndown over quality, hours of pointless meetings, and generally a significant reduction in the quality of and enjoyment in both my work and my life."
Jeff,"developer, author: 5 books; Clean Code contributor; geek",2020,4,"As Robert Garrett suggests, it’s the specific implementations and trappings of agile—not the underlying values or principles themselves—that can be the problem. The values of agile might seem motherhood & apple pie, and most people wouldn’t dispute them. The principles have a bit more meat in terms of describing how to begin implementing agile. If you’re not familiar with them, take a few minutes to read them; most people similarly won’t disagree with much here.
Some examples of things that people think are “agile” but are specific to some implementation:
Stand-up meetings / daily scrums—perhaps the one thing that’s most universally botched. They are intended to be a quick touchpoint and plan for the day, but devolve into boring, glorified status meetings for many teams (mostly because most teams aren’t truly collaborating like agile says they should). There’s really no standard set of questions, but too many teams somehow have fallen into the “what’d you do yesterday, what are you doing today” rut.
Pair programming. Comes from XP. Many devs really hate this idea, though for those who aren’t vehemently averse to it, it can be enjoyable and highly productive.
Specific story format. “As a / I want to / so that…” A nice idea. Not an absolute must.
SAFe. A big bloated thing with lots of buzzwords. It might be beneficial to larger organizations with the need to coordinate many projects. Don’t do it unless you know you need it (and then, consider something else like LESS). Don’t do it until you’ve learned how to get at least one agile team to click, and really click well.
Agile implemented in a rote way involves lots of meetings—something we wanted to get away from 20 years ago when I learned about XP. The meetings ain’t the thing. I understand why the typical developer reaction is that it’s meeting heavy.
Further turning people away: The proliferation of the Agile Expert—sometimes a ScrumMaster—someone who’s learned all the basics & buzzwords, just enough to be dangerous, dogmatic, and annoying.
Agile can and does work very well, and in a way that’s enjoyable and not off-putting. And standup meetings, pair programming, story formats, and iteration planning meetings can all be valuable tools, particularly to a team new to agile. But learning how to make them effective and not onerous is also important, as is learning when something better is called for."
William Hurley,Director of a team of developers,2023,2,"A lot of the hate, I find, comes down to one simple phrase: “in theory, theory and practice are the same; in practice they are not.” Let's start with what agile (small-A) software development is.[1] It's a rejection of the idea that you can document away the complexity of the software development process and arrive at a fixed scope, cost and timeline. Inherent on that is that if you ask enough questions, get enough people to sign on the dotted line (in blood, no doubt), there will be a plan that is inviolable. Which usually ends up with it being, well, ineffable. To misquote Aziraphale in Good Omens:
Best not to speculate. It’s all part of the System Specification Document. It’s not for us to understand. It’s ineffable.
Agile (again, small-A) preaches the acceptance of change, moving in small increments, planning and building what you need and learning while you go. And, above all, trusting the team to execute on the vision and make choices during the process, especially for things that don't really matter.
So, now that that's out of the way, let's talk about Scrum. You'll notice in the previous paragraph nothing talks about how to do this. And that's where people start to have a problem. Because it's all well and good for a team to say, “just tell us what the most important things are and we'll go down the list and we'll get as much done as we can until you tell us to stop,” but that's a much harder sell to most business people. They tend to wonder about, “will we have enough money,” or “will we hit our retail window,” or “how can we tell our client what they're going to get.” So into that void has stepped a number of methodologies, Scrum being one of the most popular.
Scrum is based on the idea that you have to have some bone to throw to the other side. So in that regard there is estimation. But rather than do it in hours or dollars — because that level of granularity is either a fool's errand or costs about the same as actually doing the work — you do it in some abstract, relative metric, usually called “story points,” or something similar. Then, assuming that the team can be somewhat consistent and stick to the idea that the task their estimating is going to be either more complex or less than this thing they already did, over time you can generally predict what's possible during a fixed unit of time. This, combined with the idea of continuous improvement, cross skilling, and an embrace of not changing the thing you are currently trying to do is supposed to prevent the problems with the waterfall method (see paragraph 1).
So, where can we go wrong? Well, there are a lot of ways. Most of them stem from people just using the trappings of Scrum but not actually committing to what it — and agile methodologies in general — preach. A common one is trying to shoehorn hours estimates back into the process. The reason you're supposed to use complexity is to avoid the problem of, “well, Sarah does it it's going to be 3 story points, but if Phil does it we're talking 5.” The team is supposed to self-organize, so basing estimates on pre-assigning tasks is really against the spirit.
Another big one is having stand-ups that don't actually provide any value. If anyone has been in one of these you'll recognize, “this is Ben, I'm working on ticket 2365, same as yesterday; don't have any blockers.” That's just noise. Another big mistake I see is doing too little exploration, assuming that, “we'll figure that out as we go.” Scrum is about the team committing to itself what it's going to accomplish. If you don't know what that is, how can you estimate? If you don't have an accurate (-ish) estimate how can you commit? So you discover what you actually need to do while you're doing it. That's not going to work well. Looking forward is at least as important as working now.
Properly done agile (and Scrum) is hard. You need to balance the now with later. Do enough planning, but not too much and certainly not too little. It also means holding yourself accountable and being willing to accept feedback and change how you are working so the team can be better.
Most people aren't willing to do that.
Footnotes
[1] Manifesto for Agile Software Development"
Robin Dymond,"CST, Expert trainer and coach in Scrum Agile and Lean. 26 yrs in software.",2021,2,"Before asking why, ask if.
In a large scale transition to Agile from waterfall at a top US bank, morale was surveyed before the transition and after 6 months of working in an Agile way. The survey was given to everyone who was transitioning to a Scrum team. The survey found a marked improvement in morale and job satisfaction. In a healthcare software company in the EU with 400 developers we found the morale improved and people were happier.
In working with companies across the US, EU and Canada in Agile transitions the large majority of people doing the work like the change to Agile and don't want to go back to waterfall.
Calling waterfall traditional is a bit silly. The first Scrum project was in 1993, the first paper in 1995 and the Agile manifesto was created in 2001. So Agile isn't new, especially when compared to the speed at which technology changes."
